epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.61,1.63856,2.21916,1.61544,0.40273,0.47997,0.36393,0.15593,1.86379,2.12487,1.95665,0.000475263,0.000475263,0.000475263
2,435.993,1.72267,1.96045,1.70785,0.3234,0.358,0.24212,0.10341,2.05619,2.37949,2.05916,0.00092468,0.00092468,0.00092468
3,639.621,1.69014,1.88451,1.6777,0.50622,0.46169,0.45846,0.21278,1.80165,1.9313,1.86573,0.00134715,0.00134715,0.00134715
4,843.531,1.65283,1.79192,1.65204,0.5701,0.54753,0.55895,0.26691,1.71019,1.6968,1.79846,0.00130774,0.00130774,0.00130774
5,1045.44,1.57958,1.66334,1.5907,0.56065,0.58123,0.58507,0.30351,1.56488,1.42965,1.68857,0.00126732,0.00126732,0.00126732
6,1248.38,1.5381,1.55644,1.56263,0.60109,0.56476,0.62174,0.32837,1.56776,1.39251,1.67723,0.0012269,0.0012269,0.0012269
7,1450.57,1.512,1.5099,1.55291,0.68613,0.60594,0.66666,0.35108,1.57396,1.27084,1.66056,0.00118648,0.00118648,0.00118648
8,1653.11,1.50385,1.45501,1.53024,0.68632,0.64197,0.68933,0.3696,1.50605,1.26331,1.60514,0.00114606,0.00114606,0.00114606
9,8167.35,1.45309,1.37377,1.50239,0.70902,0.67196,0.7148,0.38901,1.49117,1.14799,1.61914,0.00110564,0.00110564,0.00110564
10,8372.78,1.44634,1.32843,1.49625,0.78097,0.66056,0.74334,0.40224,1.47272,1.11499,1.58643,0.00106522,0.00106522,0.00106522
11,8576.59,1.41878,1.30379,1.4724,0.7042,0.68882,0.73153,0.41083,1.43937,1.10767,1.56768,0.0010248,0.0010248,0.0010248
12,8783.89,1.42681,1.27479,1.47188,0.7315,0.66433,0.73811,0.40772,1.46029,1.08222,1.57678,0.000984377,0.000984377,0.000984377
13,8988.92,1.40496,1.22825,1.45265,0.72968,0.71165,0.77115,0.43007,1.41605,1.01932,1.54819,0.000943957,0.000943957,0.000943957
14,9194.49,1.40077,1.22183,1.45284,0.7656,0.70148,0.76232,0.43301,1.40885,1.01975,1.52478,0.000903536,0.000903536,0.000903536
15,9397.97,1.3809,1.19225,1.44543,0.8035,0.71729,0.78019,0.44116,1.40575,0.99017,1.53384,0.000863116,0.000863116,0.000863116
16,9600.92,1.37874,1.1436,1.42501,0.79128,0.74628,0.80195,0.46235,1.36581,0.93066,1.50641,0.000822696,0.000822696,0.000822696
17,9803.72,1.35266,1.14273,1.42366,0.75047,0.73549,0.78269,0.45332,1.3968,0.96264,1.51568,0.000782275,0.000782275,0.000782275
18,10006.9,1.35361,1.11288,1.40686,0.80206,0.74824,0.8029,0.46466,1.373,0.91307,1.50327,0.000741855,0.000741855,0.000741855
19,10211.1,1.33148,1.09556,1.41098,0.80975,0.75383,0.8154,0.47586,1.33884,0.87868,1.47582,0.000701435,0.000701435,0.000701435
20,10413.9,1.31849,1.0779,1.40448,0.79007,0.74771,0.80123,0.46672,1.36158,0.90019,1.49106,0.000661015,0.000661015,0.000661015
21,10616.5,1.30327,1.04683,1.38719,0.80381,0.75514,0.82428,0.48568,1.32471,0.85775,1.45607,0.000620594,0.000620594,0.000620594
22,10818,1.29016,1.01622,1.37665,0.82586,0.78491,0.83204,0.49303,1.32243,0.82834,1.46277,0.000580174,0.000580174,0.000580174
23,11021,1.28673,1.01343,1.37989,0.8256,0.76414,0.83159,0.49023,1.31097,0.83401,1.44836,0.000539754,0.000539754,0.000539754
24,11223.8,1.28369,0.98286,1.36462,0.84727,0.79601,0.85192,0.50857,1.29633,0.79137,1.43183,0.000499333,0.000499333,0.000499333
25,11426.5,1.27875,0.9792,1.36445,0.82158,0.79155,0.84379,0.50416,1.29688,0.79462,1.4431,0.000458913,0.000458913,0.000458913
26,11651.6,1.2216,0.79344,1.35806,0.82257,0.79274,0.85468,0.51364,1.27594,0.77462,1.42319,0.000418493,0.000418493,0.000418493
27,11853.2,1.20907,0.77046,1.35283,0.84552,0.80684,0.8637,0.51932,1.26045,0.75564,1.40659,0.000378073,0.000378073,0.000378073
28,12056.1,1.19928,0.74547,1.34188,0.84083,0.81569,0.86759,0.5292,1.24665,0.73272,1.39819,0.000337652,0.000337652,0.000337652
29,12259.2,1.17741,0.70723,1.33394,0.85526,0.81253,0.86799,0.52782,1.25948,0.72469,1.40856,0.000297232,0.000297232,0.000297232
30,12462.5,1.16243,0.68811,1.31775,0.85321,0.8159,0.87418,0.53655,1.23614,0.70238,1.38857,0.000256812,0.000256812,0.000256812
31,12665.7,1.14538,0.67476,1.30636,0.86329,0.82095,0.87739,0.54258,1.23649,0.6924,1.39427,0.000216391,0.000216391,0.000216391
32,12869.4,1.13296,0.6523,1.29613,0.8568,0.83193,0.88309,0.54761,1.21923,0.68257,1.3836,0.000175971,0.000175971,0.000175971
33,13072,1.12742,0.64145,1.29229,0.86945,0.82635,0.88465,0.55034,1.21487,0.68076,1.37719,0.000135551,0.000135551,0.000135551
34,13274.7,1.10904,0.62891,1.27901,0.87327,0.82796,0.88592,0.55263,1.20735,0.67086,1.37529,9.51306e-05,9.51306e-05,9.51306e-05
35,13477.4,1.09666,0.60666,1.27124,0.87282,0.83252,0.88815,0.5496,1.21395,0.66673,1.37791,5.47103e-05,5.47103e-05,5.47103e-05
