epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.66,1.63856,2.21916,1.61544,0.40273,0.47997,0.36393,0.15593,1.86379,2.12487,1.95665,0.000475263,0.000475263,0.000475263
2,433.932,1.72511,1.97893,1.70911,0.28968,0.24721,0.1538,0.07073,2.01902,2.83157,2.17697,0.000935069,0.000935069,0.000935069
3,636.537,1.69691,1.90237,1.68687,0.45512,0.47058,0.42224,0.1865,1.86381,1.82254,1.92847,0.00137833,0.00137833,0.00137833
4,838.353,1.64759,1.81358,1.65393,0.55269,0.54991,0.54121,0.26577,1.66769,1.60843,1.77811,0.00135454,0.00135454,0.00135454
5,1075.92,1.59572,1.69094,1.60571,0.59893,0.55833,0.58343,0.29717,1.61646,1.45334,1.74291,0.00132972,0.00132972,0.00132972
6,1293.94,1.54879,1.58129,1.57353,0.63814,0.58513,0.63065,0.33308,1.56423,1.35414,1.66874,0.0013049,0.0013049,0.0013049
7,1495.28,1.51131,1.52014,1.5534,0.60482,0.57361,0.59198,0.3101,1.54419,1.41951,1.65722,0.00128008,0.00128008,0.00128008
8,1696.78,1.51419,1.46732,1.54244,0.74237,0.64685,0.71419,0.38505,1.48962,1.18692,1.61312,0.00125526,0.00125526,0.00125526
9,1897.39,1.46385,1.38857,1.51905,0.70233,0.67714,0.72231,0.38774,1.52457,1.12764,1.63663,0.00123044,0.00123044,0.00123044
10,2103.93,1.45854,1.36615,1.51008,0.72602,0.63698,0.71674,0.38449,1.48517,1.16047,1.6051,0.00120562,0.00120562,0.00120562
11,2305.81,1.4387,1.33112,1.49667,0.71831,0.66655,0.71979,0.39768,1.45477,1.13612,1.59333,0.00118081,0.00118081,0.00118081
12,2523.43,1.42933,1.30233,1.48061,0.70502,0.6564,0.71167,0.39564,1.45112,1.11599,1.57948,0.00115599,0.00115599,0.00115599
13,2724.52,1.41387,1.25964,1.46628,0.72878,0.68531,0.75851,0.42788,1.3962,1.02161,1.53291,0.00113117,0.00113117,0.00113117
14,2926.53,1.413,1.24927,1.46812,0.75958,0.73683,0.77477,0.43472,1.41825,1.00143,1.53217,0.00110635,0.00110635,0.00110635
15,3128.44,1.3946,1.22498,1.45507,0.78005,0.69814,0.77464,0.43202,1.42873,1.01323,1.54428,0.00108153,0.00108153,0.00108153
16,3329.75,1.40141,1.18742,1.44811,0.73935,0.72334,0.75913,0.43606,1.37656,1.00163,1.52672,0.00105671,0.00105671,0.00105671
17,3531.53,1.37465,1.17908,1.44427,0.72971,0.73692,0.77887,0.44388,1.39726,0.98085,1.53148,0.00103189,0.00103189,0.00103189
18,3731.61,1.37715,1.17175,1.43088,0.77759,0.71339,0.78528,0.44772,1.3853,0.97149,1.53529,0.00100707,0.00100707,0.00100707
19,3932.14,1.35663,1.15505,1.42641,0.799,0.72774,0.78603,0.45939,1.35367,0.92019,1.49262,0.000982249,0.000982249,0.000982249
20,4133.36,1.34496,1.12995,1.4277,0.79206,0.74411,0.80455,0.46181,1.38842,0.8998,1.50899,0.00095743,0.00095743,0.00095743
21,4334.2,1.33689,1.10702,1.41711,0.82185,0.77321,0.83356,0.48296,1.34965,0.88021,1.49259,0.000932611,0.000932611,0.000932611
